timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_134133,bd3eccc510a1,spark-worker-2,190.54%,1.288GiB / 10GiB,12.88%,5.36GB / 5.17GB,0B / 0B,102
20250618_134133,72ea5f833e39,spark-worker-1,188.00%,1.582GiB / 10GiB,15.82%,5.3GB / 5.41GB,0B / 0B,102
20250618_134133,d9db3658c991,spark-worker-4,194.49%,1.374GiB / 10GiB,13.74%,5.41GB / 5.32GB,0B / 0B,102
20250618_134133,ec39dfa29337,spark-worker-5,194.43%,1.191GiB / 10GiB,11.91%,5.4GB / 5.21GB,0B / 0B,101
20250618_134133,82e8dc373feb,spark-master,0.86%,766.1MiB / 4GiB,18.70%,47MB / 76.2MB,0B / 0B,195
20250618_134140,8896faf2c28a,spark-worker-3,139.16%,1.56GiB / 10GiB,15.60%,5.08GB / 5.42GB,0B / 0B,79
20250618_134140,bd3eccc510a1,spark-worker-2,197.59%,1.447GiB / 10GiB,14.47%,5.36GB / 5.17GB,0B / 0B,78
20250618_134140,72ea5f833e39,spark-worker-1,128.58%,1.581GiB / 10GiB,15.81%,5.3GB / 5.41GB,0B / 0B,79
20250618_134140,d9db3658c991,spark-worker-4,163.75%,1.373GiB / 10GiB,13.73%,5.41GB / 5.32GB,0B / 0B,78
20250618_134140,ec39dfa29337,spark-worker-5,160.16%,1.184GiB / 10GiB,11.84%,5.4GB / 5.21GB,0B / 0B,77
20250618_134140,82e8dc373feb,spark-master,5.95%,757.3MiB / 4GiB,18.49%,47MB / 76.3MB,0B / 0B,114
20250618_134148,8896faf2c28a,spark-worker-3,198.69%,1.767GiB / 10GiB,17.67%,5.08GB / 5.42GB,0B / 0B,78
20250618_134148,bd3eccc510a1,spark-worker-2,197.35%,1.447GiB / 10GiB,14.47%,5.36GB / 5.17GB,0B / 0B,77
20250618_134148,72ea5f833e39,spark-worker-1,197.60%,1.581GiB / 10GiB,15.81%,5.3GB / 5.41GB,0B / 0B,77
20250618_134148,d9db3658c991,spark-worker-4,179.03%,1.383GiB / 10GiB,13.83%,5.41GB / 5.32GB,0B / 0B,77
20250618_134148,ec39dfa29337,spark-worker-5,197.12%,1.314GiB / 10GiB,13.14%,5.4GB / 5.21GB,0B / 0B,77
20250618_134148,82e8dc373feb,spark-master,0.70%,757.2MiB / 4GiB,18.49%,47.1MB / 76.3MB,0B / 0B,113
20250618_134156,8896faf2c28a,spark-worker-3,196.30%,1.767GiB / 10GiB,17.67%,5.08GB / 5.42GB,0B / 0B,78
20250618_134156,bd3eccc510a1,spark-worker-2,195.93%,1.447GiB / 10GiB,14.47%,5.36GB / 5.17GB,0B / 0B,77
20250618_134156,72ea5f833e39,spark-worker-1,197.80%,1.581GiB / 10GiB,15.81%,5.3GB / 5.41GB,0B / 0B,77
20250618_134156,d9db3658c991,spark-worker-4,195.71%,1.383GiB / 10GiB,13.83%,5.41GB / 5.32GB,0B / 0B,77
20250618_134156,ec39dfa29337,spark-worker-5,198.93%,1.314GiB / 10GiB,13.14%,5.4GB / 5.21GB,0B / 0B,77
20250618_134156,82e8dc373feb,spark-master,0.82%,757.3MiB / 4GiB,18.49%,47.1MB / 76.3MB,0B / 0B,113
20250618_134203,8896faf2c28a,spark-worker-3,38.02%,1.767GiB / 10GiB,17.67%,5.08GB / 5.42GB,0B / 0B,78
20250618_134203,bd3eccc510a1,spark-worker-2,54.45%,1.448GiB / 10GiB,14.48%,5.36GB / 5.17GB,0B / 0B,77
20250618_134203,72ea5f833e39,spark-worker-1,108.27%,1.794GiB / 10GiB,17.94%,5.3GB / 5.41GB,0B / 0B,77
20250618_134203,d9db3658c991,spark-worker-4,127.72%,1.387GiB / 10GiB,13.87%,5.41GB / 5.32GB,0B / 0B,77
20250618_134203,ec39dfa29337,spark-worker-5,118.91%,1.32GiB / 10GiB,13.20%,5.4GB / 5.21GB,0B / 0B,77
