timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_132026,d9db3658c991,spark-worker-4,196.75%,2.529GiB / 10GiB,25.29%,4.55GB / 4.54GB,0B / 0B,89
20250618_132026,ec39dfa29337,spark-worker-5,196.16%,2.45GiB / 10GiB,24.50%,4.58GB / 4.42GB,0B / 0B,91
20250618_132026,82e8dc373feb,spark-master,1.98%,810.2MiB / 4GiB,19.78%,38.3MB / 61.6MB,0B / 0B,158
20250618_132033,8896faf2c28a,spark-worker-3,195.10%,2.962GiB / 10GiB,29.62%,4.43GB / 4.64GB,0B / 0B,79
20250618_132033,bd3eccc510a1,spark-worker-2,22.10%,2.286GiB / 10GiB,22.86%,4.57GB / 4.45GB,0B / 0B,78
20250618_132033,72ea5f833e39,spark-worker-1,195.44%,2.537GiB / 10GiB,25.37%,4.58GB / 4.66GB,0B / 0B,78
20250618_132033,d9db3658c991,spark-worker-4,171.94%,2.556GiB / 10GiB,25.56%,4.64GB / 4.55GB,0B / 0B,77
20250618_132033,ec39dfa29337,spark-worker-5,97.53%,2.453GiB / 10GiB,24.53%,4.58GB / 4.46GB,0B / 0B,78
20250618_132033,82e8dc373feb,spark-master,3.16%,805.1MiB / 4GiB,19.65%,38.4MB / 61.7MB,0B / 0B,111
20250618_132041,8896faf2c28a,spark-worker-3,194.19%,2.963GiB / 10GiB,29.63%,4.43GB / 4.69GB,0B / 0B,78
20250618_132041,bd3eccc510a1,spark-worker-2,195.72%,2.244GiB / 10GiB,22.44%,4.67GB / 4.48GB,0B / 0B,77
20250618_132041,72ea5f833e39,spark-worker-1,109.17%,2.538GiB / 10GiB,25.38%,4.58GB / 4.71GB,0B / 0B,78
20250618_132041,d9db3658c991,spark-worker-4,198.51%,2.495GiB / 10GiB,24.95%,4.64GB / 4.61GB,0B / 0B,77
20250618_132041,ec39dfa29337,spark-worker-5,194.11%,2.454GiB / 10GiB,24.54%,4.68GB / 4.49GB,0B / 0B,78
20250618_132041,82e8dc373feb,spark-master,0.44%,805.1MiB / 4GiB,19.66%,38.6MB / 61.7MB,0B / 0B,111
20250618_132048,8896faf2c28a,spark-worker-3,29.02%,2.972GiB / 10GiB,29.72%,4.43GB / 4.71GB,0B / 0B,78
20250618_132048,bd3eccc510a1,spark-worker-2,194.90%,2.245GiB / 10GiB,22.45%,4.67GB / 4.5GB,0B / 0B,77
20250618_132048,72ea5f833e39,spark-worker-1,196.05%,2.523GiB / 10GiB,25.23%,4.68GB / 4.71GB,0B / 0B,78
20250618_132048,d9db3658c991,spark-worker-4,92.91%,2.495GiB / 10GiB,24.95%,4.64GB / 4.63GB,0B / 0B,77
20250618_132048,ec39dfa29337,spark-worker-5,198.81%,2.454GiB / 10GiB,24.54%,4.68GB / 4.51GB,0B / 0B,78
